name,tier,categories,type,time,reach,duration,effect
Skull Cracker,1,"Mono, Stunned, Status, Physical",Active,Default,1 target within 5m,Instant,Hit: STRd6 Physical damage and Stunned chance: 20%. Add 5% for each Hit point rolled over target’s Dodge.
Assault Dive,1,"Mono, Physical",Active,Default,1 target within 2m,Instant,Hit: STR8 Physical Damage.
Holy Arrow,1,"Mono, Charmed, Status, Gun, Physical",Active,Default,1 target within 5m,Instant,Hit: STR6 Gun damage and Charmed chance: 18%
Double Claw,1,"Combo, Physical",Active,Default,Up to 2 targets within 3m,Instant,"Hit: STR6+5 Physical damage. If you choose to hit 2 targets, deal half the rolled damage to each."
Force Wave,1,"Knockdown, Status, Multi, Physical",Active,Default,Up to 3 targets within 4m,Instant,Hit: STR6 Physical damage and Knockdown (Weakness) chance: 100%
Cleave,1,"Line, Physical",Active,Default,All targets between you and a point within 3m,Instant,Hit: STR4+8 Physical damage. Move to the chosen point at the end of your action.
Gale Slash,1,"Total, Physical",Active,Default,Any # of targets within 2m,Instant,Hit: STR4+8 Physical damage. Move to the chosen point at the end of your action.
Arrow Rain,1,"Total, Gun, Physical",Active,Default,Any # of targets you can see,Instant,Spend 1 Energy to cast. Hit: STR4+6 Gun damage.
Fatal End,2,"Mono, Physical",Active,Default,1 target within 2m,Instant,Hit: STR10+2 Physical damage.
Mind Slice,2,"Mono, Panicked, Status, Physical",Active,Default,1 adjacent target,Instant,"Hit: STR8+7 Physical damage, Panicked chance: 10+2TEC%"
Cruel Impulse,2,"Mono, Physical",Active,Default,1 target within 6m,Instant,Hit: STR8+7 Physical damage.
Poisonous Stab,2,"Mono, Poison, Status, Physical",Active,Default,1 target within 6m,Instant,"Hit: STR6+8 Physical Damage, Poisoned chance: 15%. Add 5% for each Hit point rolled over target’s Dodge."
Aeon Rain,2,"Multi, Gun, Physical",Active,Default,Up to 3 targets within 4m,Instant,Hit: STR6+8 Gun damage
Path of Hades,2,"Multi, Physical",Active,Default,Any # of targets you can become adjacent to during your movement,Instant,"Hit: STR8+2 Physical damage. As part of the casting process, perform your full movement action."
Chains of Madness,2,"Multi, Enraged, Status, Physical",Active,Default,Any # of targets within 6m,Instant,"Hit: STR4+6 Physical damage, Enraged chance: 10%"
Seal Bomb,2,"Multi, Panicked, Status, Physical",Active,Default,1 target within 5m and any adjacent to it,Instant,Hit: STR8 Physical damage and Panicked chance: 15+2TEC%. 
Herculean Strike,2,"Total, Physical",Active,Default,Any # of targets you can see,Instant,Spend 1 Energy to cast. Hit: STR6+4 Physical damage.
Tempest Slash,3,"Mono, Combo, Physical",Active,Default,1 target within 3m,Instant,Hit: STR8+5 Physical damage and roll a second attack that deals STR4+5 Physical damage.
Gigantic Fist,3,"Mono, Knockdown, Physical",Active,Default,1 target within 2m,Instant,Hit: STR10+5 Physical Damage and Knockdown chance: 100%.
Vile Assault,3,"Mono, Physical",Active,Default,1 target within 4m,Instant,Hit: STR12 Physical damage. Extra: 108 extra Physical damage if the enemy is Knocked Down.
Navas Nebula,3,"Multi, Taru, Debuff, Physical",Active,Default,1 target within 5m and any adjacent to it,Instant,Hit: STR12+10 Physical damage. Extra: You can spend 2 Energy to apply Tarundamon (-2 STR + -2 MAG for 3 turns) to the target.
Death Chain,3,"Multi, Physical",Active,Default,1 target within 3m and any adjacent to it,Instant,Hit: STR10+5 Physical damage
Desperate Punch,3,"Mono, Repress, Physical",Active,Default,1 target within 3m,Instant,Hit: STR12+10 Physical damage. Spend 1 Energy: Extra: Deals +2STR extra damage for each spell you currently have Repressed (currently 0 spells).
Vorpal Blade,3,"Total, Physical",Active,Default,Any # of targets,Instant,Hit: STR6+4 Physical damage.
Akasha Arts,3,"Combo, Physical",Active,Default,1 target within 4m,Instant,Hit: STR12+8 Physical damage. Extra: Spend 1 Energy to hit up to 1d3 additional targets.
Agneyastra,3,"Multi, Knockdown, Realized, Status, Physical",Active,Default,Any # of targets within 8m,Instant,"Hit: STR6 Physical damage; Spend one use of each one of your other spells. In case you don’t have any uses, spend the appropriate Energy cost. Deals X*10 extra Physical damage, where X is the sum of the Tiers of all spent spells. Knockdown (Weakness) chance: 100%. Realized: Wrecks objects adjacent to each hit target."
Heavenly Blade,5,"Mono, Physical",Active,Default,1 target within 3m,Instant,Hit: STR12+2STR Physical damage. Critical: STR6+2 extra Physical damage.
God's Hand,5,"Mono, Physical",Active,Default,1 adjacent target,Instant,Hit: STR12+3STR Physical damage. HDC +1
Primal Force,5,"Line, Knockdown, Physical",Active,Default,All targets between you and a point within 8m,Instant,Hit: STR8+2 Physical damage and Knocked Down chance: 100%
Pralaya,5,"Total, Fear, Physical",Active,Default,Any # of targets within 5m,Instant,Hit: STR8+4 Physical damage and Fearful chance: 15+2TEC%
Brave Blade,5,"Mono, Physical",Active,Default,1 adjacent target,Instant,Spend 1 Aspect Point to cast. Hit: STR12+405 Physical damage. HDC+1.
Agi,1,"Mono, Fire",Active,Default,1 target within 8m,Instant,Hit: MAG6 Fire damage.
Ha Agi,1,"Multi, Fire",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG4+6 Fire damage.
Maragi,1,"Total, Fire",Active,Default,Any # of targets you can see,Instant,Hit: MAG4 Fire damage.
Agilao,2,"Mono, Fire",Active,Default,1 target within 8m,Instant,Hit: MAG8 Fire damage.
Ha Agilao,2,"Multi, Fire",Active,Default,Up to 3 targets within 7m,Instant,Hit: MAG6+6 Fire damage.
Maragion,2,"Total, Fire",Active,Default,Any # of targets you can see,Instant,Hit: MAG4+6 Fire damage.
Flame Dance,2,"Combo, Fire",Active,Default,Up to 1d6 targets within 7m,Instant,Hit: MAG6+6 Fire damage.
